Множество рёбер,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,
,2024-06-13,,,,,,2024-06-10,,,,,,2024-06-07,,,,,,2024-06-04,,,,,,2024-06-01,,,,,,2024-05-29,,,,,,2024-05-26,,,,,,2024-05-23,,,,,,2024-05-20,,,,,,2024-05-17,,,,,,2024-05-14,,,,,,2024-05-11,,,,,,2024-05-08,,,,,,2024-05-05,,,,,,2024-05-02,,,,,,2024-04-29,,,,,,2024-04-26,,,,,,2024-04-23,,,,,,2024-04-20,,,,,,2024-04-17,,,,,,2024-04-14,,,,,,2024-04-11,,,,,,2024-04-08,,,,,,2024-04-05,,,,,,2024-04-02,,,,,,2024-03-30,,,,,,2024-03-27,,,,,,2024-03-24,,,,,,2024-03-21,,,,,,2024-03-18,,,,,,2024-03-15,,,,,,2024-03-12,,,,,,2024-03-09,,,,,,2024-03-06,,,,,,2024-03-03,,,,,,2024-02-29,,,,,,2024-02-26,,,,,,2024-02-23,,,,,,2024-02-20,,,,,,2024-02-17,,,,,,2024-02-14,,,,,,2024-02-11,,,,,,2024-02-08,,,,,,2024-02-05,,,,,,2024-02-02,,,,,,2024-01-30,,,,,,2024-01-27,,,,,,2024-01-24,,,,,,2024-01-21,,,,,,2024-01-18,,,,,
,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,
,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00
1:2,6,6,5,6,6,6,5,6,6,5,6,6,6,5,6,6,6,5,5,6,5,6,6,5,5,5,5,5,5,6,5,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,5,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,6,5,5,6,6,6,5,5,6,6,6,6,6,5,6,5,6,5,6,6,6,6,6,6,6,6,5,6,5,5,5,6,5,5,6,6,5,6,6,6,6,5,5,6,6,6,6,6,5,6,6,5,6,6,6,5,6,5,6,5,6,5,6,6,6,5,6,5,6,6,5,5,6,6,6,6,5,5,6,6,5,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,6,5,6,6,6,6,5,5,6,6,5,6,5,5,5,6,6,6,5,6,5,6,6,6,5,6,5,5,6,5,5,5,6,6,5,6,6,5,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,6,6,5,6,5,5,6,6,5,6,6,6,5,6,5,6,6,5,6,6,5,5,5,6,5,6,5,5,6,6,6,5,6,6,6,5,6,6,6,6,6,6,6,5,6,6,5,6,5,6,5,6,6,5,6,6
1:3,9,9,10,9,7,8,9,9,7,7,7,8,9,9,10,9,7,8,7,9,7,7,8,7,8,8,9,8,8,7,9,9,7,9,7,8,8,8,8,8,8,8,7,9,10,7,7,8,9,9,10,7,8,8,9,7,7,7,8,7,7,9,7,9,8,7,8,7,7,8,7,8,9,9,10,7,8,8,8,8,8,7,7,7,9,9,7,7,8,8,9,7,10,9,7,8,9,9,10,9,7,7,9,9,10,7,8,8,8,8,7,8,7,8,9,9,10,9,8,8,7,8,8,8,7,7,7,9,10,7,8,8,9,9,10,7,7,8,7,7,10,9,8,8,9,9,10,7,8,7,7,7,9,8,7,8,9,9,10,9,7,8,7,8,7,7,7,8,9,9,7,9,8,8,9,9,10,9,8,8,9,9,7,7,8,8,7,9,10,9,8,8,8,7,9,8,8,8,7,9,7,9,8,7,8,8,7,8,8,8,7,9,7,9,8,7,7,9,10,9,7,8,9,7,7,9,8,7,9,9,7,9,8,7,8,8,9,8,8,8,9,9,10,9,8,8,7,8,7,7,8,8,9,7,10,7,8,7,9,9,7,7,7,8,7,9,10,7,8,8,9,9,7,9,8,8,7,7,7,8,7,8,9,7,10,7,7,8,8,8,7,8,8,7,9,7,7,9,8,7
3:2,8,8,9,8,8,8,8,8,9,6,8,6,8,8,9,6,8,8,6,6,9,8,6,8,6,8,6,8,8,8,6,8,9,8,8,6,8,8,6,8,8,6,8,8,6,8,8,8,6,8,9,8,8,8,8,8,9,8,8,8,6,8,9,8,8,6,6,8,6,6,6,8,8,6,6,6,8,8,8,8,8,8,8,8,6,8,9,8,8,8,6,8,6,6,8,6,8,8,9,8,8,8,8,8,9,8,8,6,8,8,8,6,6,8,8,8,9,6,8,8,6,8,8,8,6,6,8,8,9,8,8,6,8,8,9,8,8,8,6,8,9,8,6,8,8,6,6,8,6,8,6,8,8,8,6,6,8,8,9,8,6,6,8,8,6,8,8,8,8,8,9,8,8,8,8,8,9,6,8,8,6,8,9,8,8,8,8,6,9,8,6,8,8,8,8,8,8,6,8,8,9,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,9,8,6,8,8,6,6,8,6,6,8,8,9,8,6,6,6,8,8,8,8,6,6,8,9,6,8,6,8,6,8,8,6,8,6,8,9,6,8,8,8,6,9,8,6,6,6,8,6,8,8,6,6,8,9,8,8,8,8,6,6,6,8,8,8,6,9,8,8,8,6,8,8,8,8,6,8,8,6,8,6,8
3:5,6,6,6,4,5,5,4,4,6,4,5,5,4,4,6,5,5,4,4,6,4,4,4,5,5,4,5,5,5,5,6,4,4,4,5,4,4,4,4,4,5,5,6,4,6,5,4,5,4,4,4,4,5,4,4,6,6,5,5,4,4,6,6,5,5,5,5,5,4,5,4,5,4,6,4,5,5,4,5,5,4,4,4,5,6,4,4,5,4,4,4,6,4,5,4,5,4,6,6,4,5,5,6,6,6,5,5,5,4,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,5,5,4,6,6,6,4,4,5,4,6,4,5,5,4,4,5,5,5,4,4,6,6,4,4,5,4,5,4,5,4,5,4,6,4,4,5,4,5,4,6,4,5,4,5,4,6,4,5,5,5,4,6,6,5,5,4,5,5,4,5,5,5,6,6,4,5,5,4,5,5,5,4,5,4,4,4,4,5,5,5,6,6,6,5,4,5,4,4,6,5,5,5,6,6,6,5,5,4,5,4,4,5,4,4,6,4,6,4,5,5,5,5,4,5,5,4,6,6,4,4,5,4,6,4,6,4,5,4,4,6,4,5,4,5,4,6,6,5,5,4,5,5,4,4,5,5,6,6,6,4,5,5,5,4,5,5,4,4,4,6,4,5,5,5
5:4,8,8,8,11,10,8,8,8,13,11,8,8,11,11,13,8,10,10,8,11,8,11,8,8,8,11,8,8,10,10,8,8,13,8,10,8,8,11,8,10,10,8,11,8,13,11,10,8,11,8,8,11,8,10,8,11,8,10,10,8,8,11,8,11,8,8,11,8,8,8,8,10,8,11,8,8,10,8,8,11,11,8,8,10,8,11,8,8,10,10,8,11,8,8,8,8,8,11,13,8,10,8,8,8,8,8,8,8,11,8,8,8,8,8,11,11,8,8,10,8,8,8,11,8,10,10,8,11,13,8,8,10,8,8,8,8,8,8,11,8,8,10,10,8,11,8,13,11,8,8,8,11,11,11,10,8,11,8,8,11,8,10,11,8,11,8,8,8,8,11,8,8,10,10,11,8,13,8,8,10,8,8,13,10,8,8,11,11,8,8,8,10,8,8,8,8,8,10,8,11,13,11,10,10,11,11,8,10,10,10,11,11,13,8,8,10,11,8,13,11,8,10,8,8,8,10,10,10,11,8,13,11,10,10,11,11,11,11,10,10,11,8,13,11,8,8,8,11,8,8,10,10,11,11,8,11,10,10,11,11,13,8,10,8,8,8,8,8,8,8,8,11,13,11,8,10,8,11,8,11,8,8,8,8,13,8,10,10,11,11,11,10,10,10,8,11,13,11,10,10
4:2,6,9,9,9,8,8,9,9,6,9,8,8,9,6,9,9,6,6,9,6,6,6,8,8,9,6,9,9,6,6,6,9,9,9,8,8,9,9,9,9,8,8,6,9,6,9,8,8,6,9,6,9,8,8,6,9,9,9,8,8,9,9,9,9,8,8,9,9,9,9,8,8,9,9,9,6,8,8,9,9,9,9,8,6,9,9,9,9,8,8,9,9,9,9,8,8,9,9,6,9,8,8,9,9,6,9,6,8,6,9,6,9,8,8,9,6,9,9,8,8,9,6,9,6,8,8,9,9,6,9,8,8,9,9,9,6,8,8,9,9,9,6,8,8,9,9,9,6,8,6,9,9,6,9,8,8,9,9,9,9,8,6,6,9,9,9,8,6,9,9,9,9,8,6,6,9,9,9,8,6,9,9,9,9,8,6,6,9,9,9,8,6,9,9,9,9,6,8,9,9,9,9,8,8,9,6,9,6,8,8,9,9,6,9,8,8,9,9,9,9,8,8,9,6,9,6,6,8,6,9,6,6,8,8,6,9,9,6,6,8,9,6,9,9,8,6,6,9,6,6,8,6,9,9,9,9,8,8,9,6,9,9,8,6,9,9,6,9,8,8,9,9,9,6,8,8,6,6,9,6,6,8,9,9,6,6,8,8,9,9,6,9,6,8,6,6,9,6,8,6
5:6,5,5,2,2,2,2,5,2,5,2,4,4,5,5,4,4,2,2,5,5,5,2,4,2,2,5,4,2,4,4,2,5,2,2,4,4,2,2,4,2,2,2,2,5,2,4,4,2,5,5,5,2,4,4,5,5,2,4,4,4,5,5,2,2,4,4,5,2,4,4,2,2,5,2,5,4,4,4,2,2,4,4,2,2,2,5,5,4,4,4,5,2,2,2,4,4,2,2,4,2,4,4,2,5,5,4,4,2,5,5,4,2,4,4,5,5,5,4,4,4,5,2,4,4,4,4,5,2,5,4,2,4,5,2,5,4,4,4,5,5,4,4,4,2,5,5,2,4,4,4,5,5,2,4,4,4,2,5,5,4,4,2,2,5,4,4,4,4,5,5,5,4,4,4,5,5,2,2,4,4,2,5,4,4,2,2,5,2,5,4,2,4,5,5,2,2,4,4,5,5,5,4,4,4,5,2,2,4,4,4,5,5,2,4,4,4,5,5,5,4,2,4,5,5,2,2,2,2,2,5,2,4,4,2,5,2,4,4,4,4,2,5,5,4,4,2,2,2,2,2,4,4,2,5,5,2,4,4,5,2,5,4,4,4,5,5,4,2,2,4,5,5,5,4,4,4,2,5,4,4,4,4,2,5,5,4,4,4,2,2,2,4,4,4,2,2,5,4,2,4
6:7,6,8,10,7,7,7,8,8,9,7,7,7,8,8,9,7,7,7,6,6,10,8,7,7,8,8,7,7,7,7,8,8,10,8,7,7,7,7,7,7,7,7,8,8,10,7,7,7,8,8,9,7,7,6,8,8,9,7,7,7,8,8,6,8,7,7,8,8,7,6,7,7,8,8,10,8,7,7,7,7,7,6,7,7,8,8,10,6,7,7,8,8,9,6,7,7,8,8,9,7,7,6,8,8,10,8,7,7,8,6,7,7,7,7,8,8,10,8,7,7,6,7,7,6,7,7,8,6,10,6,7,7,6,8,9,6,7,7,8,8,9,7,7,7,8,8,10,8,7,6,8,8,7,7,7,7,8,8,10,8,7,7,7,7,7,7,7,7,8,8,10,7,7,7,8,8,9,7,7,7,8,8,9,6,7,7,8,8,10,8,7,7,8,8,7,7,7,7,8,8,10,8,6,7,7,7,6,7,7,6,8,8,10,7,6,6,8,8,9,6,6,6,6,8,6,7,7,7,6,8,10,8,7,6,8,6,7,7,7,7,8,6,10,8,7,7,7,7,7,7,7,7,8,8,6,7,7,6,8,8,9,7,7,6,8,8,9,7,7,7,8,6,10,8,7,7,6,8,7,7,7,7,6,6,10,8,7,7,7,6,6,7,7,7,6,8,10,6,6,6
