Множество рёбер,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,
,2024-06-12,,,,,,2024-06-09,,,,,,2024-06-06,,,,,,2024-06-03,,,,,,2024-05-31,,,,,
,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,
,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00
1:2,5,5,5,6,6,5,5,6,6,6,5,5,6,5,5,6,6,5,5,5,5,6,6,5,6,6,5,6,6,5
2:3,5,5,5,5,5,4,4,5,5,6,5,4,5,5,6,6,5,5,4,4,4,5,6,5,5,5,5,4,5,4
2:5,5,5,6,6,5,4,5,6,5,5,6,5,5,5,6,5,6,5,5,6,6,5,6,5,5,5,5,5,6,4
3:4,8,9,9,8,8,8,9,9,9,9,8,8,10,9,9,11,10,8,9,9,9,10,8,8,9,9,9,9,9,8
4:6,3,3,3,4,3,3,3,4,4,3,3,3,4,4,3,4,3,3,3,3,4,4,4,3,4,3,3,4,3,3
5:6,4,4,4,5,4,4,4,4,5,5,4,4,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,5,5,5
5:7,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,5,4,3,3,4,3,5,4,3,3,3,3,4,3,4
6:7,4,5,5,5,5,4,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,5,4,5,5,4,5,5,4,4
