Множество рёбер,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,,Дата,,,,,
,2024-06-13,,,,,,2024-06-10,,,,,,2024-06-07,,,,,,2024-06-04,,,,,,2024-06-01,,,,,
,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,,Время,,,,,
,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00,09:00,12:00,15:00,18:00,20:00,23:00
1:2,5,6,6,5,6,6,6,6,6,5,6,6,5,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,5
1:3,9,9,10,9,7,8,7,9,10,9,8,8,9,7,7,9,7,8,9,9,10,9,8,8,8,8,9,8,8,8
3:2,6,8,6,8,8,8,6,6,9,8,8,8,8,8,9,6,8,8,8,8,6,8,8,8,6,8,8,8,8,8
3:5,6,6,4,4,5,5,6,6,6,5,5,4,6,6,6,5,4,5,6,6,6,4,5,5,5,4,5,5,5,4
5:4,8,11,13,8,10,10,11,11,8,11,8,8,8,8,8,8,10,10,11,11,13,11,8,10,11,11,11,11,10,10
4:2,6,9,9,6,8,8,6,6,9,6,8,6,6,9,6,9,8,6,9,6,9,6,6,8,9,6,6,9,8,8
5:6,5,2,5,4,4,4,5,2,5,4,2,2,5,2,4,4,4,4,5,5,2,4,4,2,5,2,2,2,4,4
6:7,8,6,10,7,6,7,8,8,9,6,6,6,8,6,6,7,7,7,8,8,10,8,7,7,8,8,7,6,7,7
7:4,8,13,8,12,11,11,8,13,8,12,8,11,13,13,13,8,11,11,13,13,13,8,8,11,12,8,13,8,11,8
3:4,8,8,5,8,7,5,8,5,5,5,7,5,8,8,9,8,7,5,5,8,9,8,5,7,8,5,8,8,7,7
